Name,price,matched
住总·旗胜家园北1区,,
住总.旗胜家园东区,,
金隅翡丽·蓝爵堡,76241.0,蓝爵堡
金隅翡丽·铂爵郡,73395.0,金隅翡丽铂爵郡
建材城东一里,48130.0,建材城东一里
建材城东二里,,
建材城富力桃园,50485.0,建材城富力桃园
金隅翡丽·爱公馆,56404.0,金隅翡丽爱公馆
华鸿家园,64303.0,华鸿家园
悦秀园社区,,
林涧阳光小区,,
沁春家园,45346.0,沁春家园
龙华园二区,,
慧华苑,,
冠庭园,,
北郊农场家属院,,
天露园二区,31966.0,天露园二区
天露园一区,31925.0,天露园一区
三合庄园,34948.0,三合庄园
天慧园,,
马连店家园,,
田园风光雅苑西区,35969.0,田园风光雅苑西区
回龙观小区,,
龙锦苑五区,34166.0,龙锦苑五区
良庄家园,35529.0,良庄家园
天龙苑,40961.0,天龙苑
北回归线,24840.0,北回归线
和谐家园二区,,
和谐家园一区,31897.0,和谐家园一区
龙锦苑一区,29441.0,龙锦苑一区
上坡佳园,18686.0,上坡佳园
龙锦苑东三区,33820.0,龙锦苑东三区
霍营小区,43005.0,霍营小区
紫金新干线四区,38167.0,紫金新干线家园四区
龙城花园五期,41565.0,龙城花园中五区
龙城花园,45327.0,龙城花园北二区
华远·静林湾,,
龙兴园西区,,
二拨子新村东区,,
二拨子新村西区,,
育新嘉园,37903.0,育新嘉园
海悦梧桐苑2号院,,
海悦梧桐苑3号院,,
领秀慧谷-D2区,54423.0,领秀慧谷D区
北清橡树湾,,
中交卓越·北清云际-南区,,
北京城建畅悦居-西区,30033.0,北京城建·畅悦居
北四村安置房项目D组团,,
陶瓷厂宿舍,45123.0,陶瓷厂宿舍
801号院,,
安宁庄路5号院,,
常秀家园,38304.0,常秀家园
奥海明月,,
奥森one,45.0,奥森one艺术空间
七里渠南村325号院,,
兴林嘉园,,
农机所宿舍,,
龙兴园北区,35629.0,龙兴园北区
国风美唐二期,54352.0,首开国风美唐朗观
自如寓,,
龙兴园中区 1-6 号楼,,
龙兴园中区 7-13 号楼,,
首开智慧社,49203.0,首开智慧社
国土资源部回龙观职工住宅,,
五机床宿舍,43778.0,华德液压工业集团有限责任公司五机床宿舍区
